,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역
39,차량SW · ICT · 경영지원 부문 채용,현대오토에버㈜,솔루션·SI·CRM·ERP,대기업 (코스피),"6,444명",2000년(25년차),경력,학력무관,"C,C++,MSSQL,SAP,DBMS,컨설팅,SW,솔루션",정규직   계약직,회사내규에따름,"서울시강남구 ,경기도광명시 ,군포시 ,성남시분당구 ,성남시중원구 ,용인시기흥구 ,의왕시 ,파주시 ,화성시 ,부천시 ,광주전지역 ,울산전지역 ,충남아산시 ,인천전지역 ,전국"
40,수호천사동양생명 경력사원 공개채용,동양생명보험㈜,생명보험업,대기업 (코스피),890명,1989년(36년차),경력 (1년이상) 직무별상이,학력무관,"Python,SQL,Cinema4D,IFRS,VBA",정규직수습3개월,회사내규에따름 -면접후결정,서울시종로구
41,각 부문별 경력 채용 (개발/회계),㈜해피머니아이엔씨,생활용품·소비재·기타,중소기업 (비상장),51명,1999년(26년차),경력 부서별상이,초대졸이상,"JAVA,JPA,MyBatis,Spring,SpringBoot,OA,운전면허",정규직   계약직,회사내규에따름 -면접후결정,"서울시강남구 ,서울전지역 ,강서구 ,구로구 ,동대문구 ,동작구 ,마포구 ,서초구 ,성동구 ,성북구 ,송파구 ,양천구 ,영등포구 ,용산구 ,종로구"
42,[GS리테일] 플랫폼BU 편의점사업부 개발직무 경력사원 채용,GS리테일,백화점·유통·도소매,대기업 (코스피),"8,000명",1971년(54년차),경력 (3년이상),대졸이상,명시되어있지않음,정규직,회사내규에따름,경남전지역
43,2024 경력사원 채용 공고,우리에프아이에스㈜,시스템소프트웨어개발및공급업,중견기업 (비상장),"1,078명",1989년(36년차),경력 (2년이상),학력무관,".Net,ASP,C,C#,CISCO,JAVA,Javascript,JSP,MSSQL,MySQL,Oracle,PostgreSQL,Python,Tibero,Unix,Window,Linux,MicrosoftOffice",정규직   계약직,회사내규에따름 -면접후결정,서울시마포구
44,바이오 관련 직무 담당자 채용,㈜그래디언트,제약·보건·바이오,중견기업 (비상장),41명,1997년(28년차),경력 (2년이상),대학원(석사)이상,명시되어있지않음,정규직,회사내규에따름 -면접후결정,서울시강남구
45,24년 상반기 KAI 경력사원 정규/계약 채용,한국항공우주산업㈜,"항공기,우주선및보조장치제조업",중견기업 (코스피),"5,098명",1999년(26년차),경력,학력무관분야별상이함,"C,C#,C++,DB2,JAVA,MSSQL,MySQL,Oracle,Python,SQL",정규직   계약직,회사내규에따름,"경남사천시 ,서울시강남구"
46,위세아이텍 각 부문별 인재모집 (PM/개발/컨설팅/영업/홍보),㈜위세아이텍,솔루션·SI·CRM·ERP,중소기업 (코스닥상장),195명,1990년(35년차),신입·경력,초대졸이상,"JAVA,Javascript,JSP",정규직수습3개월,회사내규에따름,경기도성남시분당구
47,[솔탑] 연구/개발직 신입 및 경력사원 모집,솔탑,솔루션·SI·CRM·ERP,중소기업 (비상장),125명,1995년(30년차),신입·경력 (2년이상) 부문별상이(상세요강참조),학력무관부문별상이(상세요강참조),"C#,Git,SVN,Unity,WPF",정규직,회사내규에따름,"대전시유성구 ,대전전지역 ,대덕구 ,동구 ,서구 ,중구 ,세종전지역"
48,헥토이노베이션 직군별 인재 모집(플랫폼기획/광고영업/마이데이터/정보보안/시스템운영/글로벌구독/재무회계),㈜헥토이노베이션,그외기타정보서비스업,중소기업 (코스닥),188명,2009년(16년차),경력,학력무관,"Android,API,iOS,JAVA,Javascript,Python,SQL,Linux,Illustrator,Photoshop",정규직,회사내규에따름 -면접후결정,서울시강남구
49,현대자동차 4월 경력채용 IT 부문,현대자동차㈜,승용차및기타여객용자동차제조업,대기업 (코스피),"73,500명",1967년(58년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,서울시서초구
50,[kt ds] 2024년 각 부문별 경력사원 상시채용,㈜KT DS,컴퓨터시스템통합자문및구축서비스업,대기업계열사·자회사 (비상장),"1,770명",2008년(17년차),경력 (2년이상),학력무관,명시되어있지않음,정규직,회사내규에따름 -면접후결정,서울시서초구
51,각 부문별 경력/신입 인재영입,(주)우아한형제들,응용소프트웨어개발및공급업,중견기업 (비상장),"2,010명",2011년(14년차),신입·경력,학력무관,"ASP,API,ASP.NET,CSS,HTML,JAVA,Javascript,JSP,MSSQL,MySQL,Oracle,PHP,Spring,SpringBoot,SQL,WAS,Window,Linux,Illustrator",정규직   계약직,회사내규에따름 -면접후결정,서울시송파구
52,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),이젠컴퓨터아카데미,기타기술및직업훈련학원,중소기업 (비상장),50명,2014년(11년차),신입·경력,고졸이상(졸업예정자가능)24년졸업예정자가능,"AWS,JAVA,BIM,CAD,SpringFramework,3DPrinter,UI,UX,모션그래픽,정보보안기사자격,영상편집,C언어,MAX,소프트웨어,웹프로그래머,블랜더",연수생/교육생근무기간협의,회사내규에따름 -면접후결정,"서울시관악구 ,서울전지역 ,강남구 ,강동구 ,강서구 ,구로구 ,금천구 ,동작구 ,양천구 ,영등포구 ,용산구 ,경기도광명시 ,부천시 ,수원시팔달구 ,인천시부평구"
